title,price,rating,discount
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with IOT Sensors for Light & Camera  (UA55CUE70AKLXL),,4.4,Special price
SAMSUNG 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA55QE1CAKLXL),,4.4,Special price
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design  (UA32T4380AKXXL),,4.4,
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with IOT Sensors for Light & Camera  (UA43CUE70AKLXL),,4.4,Special price
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV 2023 Edition  (UA43T5450AKXXL),,4.4,Special price
SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition  (UA43CUE60AKLXL),,4.3,
Hisense E7K 126 cm (50 inch) QLED Ultra HD (4K) Smart VIDAA TV With Dolby Vision and Atmos  (50E7K),,4.3,Special price
Hisense E7K 139 cm (55 inch) QLED Ultra HD (4K) Smart VIDAA TV With Dolby Vision and Atmos  (55E7K),,4.3,Special price
SAMSUNG AUE60 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV  (UA55AUE60AKLXL),,4.4,
SAMSUNG Crystal 4K iSmart Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition  (UA55CUE60AKLXL),,4.3,
Hisense E7K 108 cm (43 inch) QLED Ultra HD (4K) Smart VIDAA TV With Dolby Vision and Atmos  (43E7K),,4.3,Special price
"Hisense A6K 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Hands Free Voice Control, Dolby Vision & Atmos and 120 High Refresh Rate Mode  (50A6K)",,4.3,Special price
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition with IOT Sensors for Light & Camera  (UA65CUE70AKLXL),,4.4,Special price
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV with Matte Display  (QA55LS03BAKLXL),,4.2,
SAMSUNG Crystal 4K iSmart Series 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition  (UA65CUE60AKLXL),,4.3,Special price
SAMSUNG Crystal 4K iSmart Series 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition  (UA50CUE60AKLXL),,4.3,
"LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with Filmmaker Mode, AI Sound & Active HDR  (43UQ7500PSF)",,4.4,
"Hisense A6K 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Hands Free Voice Control, Dolby Vision & Atmos and 120 High Refresh Rate Mode  (43A6K)",,4.3,Special price
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search  (UA43AUE65AKXXL),,4.4,
SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA65LS03TAKXXL),,4.5,
"Hisense Tornado 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Built-in JBL Soundbar, 25W Subwoofer and 120 High Refresh Rate Mode  (65A7K)",,4.3,Special price
"Hisense A6K 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with Hands Free Voice Control, Dolby Vision & Atmos and 120 High Refresh Rate Mode  (55A6K)",,4.3,Special price
SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV  (QA65LS03AAKLXL),,4.2,
SAMSUNG AUE70 146 cm (58 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search  (UA58AUE70AKLXL),,4.4,
